country;region;year;population_total_people;population_rural_people;political_stability;basic_drinking_water_pct;safely_managed_drinking_water_pct;wash_mortality_rate_per_100k;wash_deaths;rural_share_pct;basic_minus_safe_gap_pct;risk_low_basic;risk_low_safe;risk_high_gap;risk_high_mortality;risk_low_stability;risk_high_rurality;score_creation_services;score_modernisation_services;score_gouvernance;action_prioritaire;wash_score_inverse;water_access_score;gov_effectiveness_score
Brazil;Americas;2016;206163053.0;28983278.0;-0.38;97.84798;;1.047;2174.623;14.058424910888371;;0.0264686709763752;;;0.0103004992732849;0.4450757575757575;0.1293899308140051;5.330300600189164;1.0300499273284944;98.40896503633576;Renforcer la gouvernance politique;0.9896995007267151;0.9784798000000001;0.9840896503633576
British Virgin Islands;Americas;2016;29355.0;16264.0;;;;;;55.40453074433657;;;;;;;0.5099282775440824;50.992827754408246;;;Créer ou étendre les services d'eau;;;
Brunei Darussalam;Western Pacific;2016;419800.0;97378.0;1.15;99.90001;;0.0452;0.19128;23.196283944735587;;0.001229939683758;;;0.0003853049654655;0.1553030303030304;0.2134923075505259;6.469749136421529;0.038530496546557;99.93073975172673;Renforcer la gouvernance politique;0.9996146950345345;0.9990001;0.9993073975172673
Bulgaria;Europe;2016;7151953.0;1830702.0;0.08;99.14818;96.96734;0.12884;9.18815;25.59723197286112;2.1808400000000034;0.010476995208155;0.0317651715600606;0.0330530313490309;0.0012131217471645;0.3579545454545454;0.2355899821631759;7.569492292941367;2.610551252362104;99.51343391264177;Renforcer la gouvernance politique;0.9987868782528355;0.9914818;0.9951343391264178
Burkina Faso;Africa;2016;18646357.0;13400521.0;-0.87;48.26772;;49.64125;9256.325;71.86669760747367;;0.6362759640267242;;;0.4912562099867523;0.5378787878787878;0.6614415974907704;60.75707155559451;49.12562099867523;49.571049500662376;Créer ou étendre les services d'eau;0.5087437900132477;0.4826772;0.4957104950066238
Burundi;Africa;2016;10487995.0;9220356.0;-1.97;60.20415;;65.40117;6882.901;87.91342863912503;;0.48946507463274;;;0.6472381116394661;0.7462121212121212;0.8091313586935505;62.48082191026647;64.7238111639466;47.740169418026696;Renforcer la gouvernance politique;0.3527618883605339;0.6020415;0.47740169418026696
Cabo Verde;Africa;2016;531146.0;190010.0;0.89;86.48798;;4.13675;22.32021;35.7735914419011;;0.1661898190512738;;;0.0408809261175501;0.2045454545454545;0.3292504353066656;18.378078069446047;4.088092611755019;91.19994369412248;Créer ou étendre les services d'eau;0.9591190738824498;0.8648798;0.9119994369412249
Cambodia;Western Pacific;2016;15766292.0;12202907.0;0.21;76.94537;25.24514;6.47033;1019.877;77.39871239223528;51.70023;0.2835581663075244;0.7830092898143242;0.7835739086508448;0.0639772518640476;0.3333333333333333;0.7123567615151537;35.7302516258944;63.94004988170511;85.27382240679762;Moderniser les services d'eau;0.9360227481359524;0.7694537;0.8527382240679762
Cameroon;Africa;2016;23926551.0;10505784.0;-1.06;60.15572;;45.15287;10583.47;43.90847640347328;;0.4900607344215839;;;0.4468330119159495;0.5738636363636365;0.4041217106472259;45.3472096662868;44.68330119159495;57.73620940420252;Renforcer la gouvernance politique;0.5531669880840505;0.6015572;0.5773620940420252
Canada;Americas;2016;36382944.0;6786280.0;1.26;99.41262;98.8135;0.36794;133.5263;18.652366339568346;0.5991199999999992;0.0072245427084255;0.0124278277340722;0.0090803232432601;0.0035795850721791;0.1344696969696969;0.1716713220358708;5.564733709759751;0.9486552629909372;99.52733074639104;Renforcer la gouvernance politique;0.9964204149278209;0.9941262000000001;0.9952733074639104
